DATETIME,ACT_HEAT_INDEX,ACT_HUMIDITY,ACT_RAIN,ACT_TEMP,COOL_FACTOR
01APR2013:00:15:00,26.28997222,67.65,0,25.88,0
01APR2013:00:30:00,26.14556667,68.86,0,25.72,0
01APR2013:00:45:00,26.04858889,69.78,0,25.61,0
01APR2013:01:00:00,25.93848889,71.04,0,25.48,0
01APR2013:01:15:00,25.89128889,71.76,0,25.42,0
01APR2013:01:30:00,25.72991111,72.32,0,25.26,0
01APR2013:01:45:00,25.59657222,72.69,0,25.13,0
01APR2013:02:00:00,25.49907222,73.59,0,25.02,0
01APR2013:02:15:00,25.36230556,74.25,0,24.88,0
01APR2013:02:30:00,25.16714444,74.78,0,24.69,0
01APR2013:02:45:00,24.91802778,75.35,0,24.45,0
01APR2013:03:00:00,24.74747778,75.98,0,24.28,0
01APR2013:03:15:00,24.61413889,76.35,0,24.15,0
01APR2013:03:30:00,24.48758889,76.98,0,24.02,0
01APR2013:03:45:00,24.14417222,77.73,0,23.69,0
01APR2013:04:00:00,24.13046111,78.89,0,23.65,0
01APR2013:04:15:00,24.04869444,79.55,0,23.56,0
01APR2013:04:30:00,23.84831111,79.88,0,23.37,0
01APR2013:04:45:00,23.64479444,80.09,0,23.18,0
01APR2013:05:00:00,23.47819444,80.45,0,23.02,0
01APR2013:05:15:00,23.34146111,80.69,0,22.89,0
01APR2013:05:30:00,23.28117222,81.33,0,22.82,0
01APR2013:05:45:00,23.23792222,81.78,0,22.77,0
01APR2013:06:00:00,23.15041111,82.22,0,22.68,0
01APR2013:06:15:00,23.00117778,81.56,0,22.56,0
01APR2013:06:30:00,22.80079444,81.89,0,22.37,0
01APR2013:06:45:00,22.66428889,82.56,0,22.23,0
01APR2013:07:00:00,22.54325556,82.98,0,22.11,0
01APR2013:07:15:00,22.4594,83.56,0,22.02,0
01APR2013:07:30:00,22.57152222,83.22,0,22.13,0
01APR2013:07:45:00,22.79968333,82.69,0,22.35,0
01APR2013:08:00:00,23.03130556,81.45,0,22.59,0
01APR2013:08:15:00,23.22046111,80.69,0,22.78,0
01APR2013:08:30:00,23.78375,78.25,0,23.35,0
01APR2013:08:45:00,24.10813889,76.35,0,23.69,0
01APR2013:09:00:00,24.57053333,74.68,0,24.15,0
01APR2013:09:15:00,24.84857222,72.69,0,24.45,0
01APR2013:09:30:00,25.30907222,71.79,0,24.89,0
01APR2013:09:45:00,25.72936111,69.35,0,25.33,0
01APR2013:10:00:00,26.05413889,69.15,0,25.63,0
01APR2013:10:15:00,26.28243333,66.94,0,25.89,0
01APR2013:10:30:00,27.12819444,66.05,0,26.68,0
01APR2013:10:45:00,28.5666442,63.68,0,27.15,0.15
01APR2013:11:00:00,28.70585943,62.45,0,27.32,0.32
01APR2013:11:15:00,29.38314572,60.88,0,27.89,0.89
01APR2013:11:30:00,29.60837151,58.55,0,28.22,1.22
01APR2013:11:45:00,29.86072002,56.88,0,28.53,1.53
01APR2013:12:00:00,30.19008403,55.45,0,28.88,1.88
01APR2013:12:15:00,30.67067238,53.78,0,29.36,2.36
