DATETIME,LOAD
01APR2013:00:15:00,1136
01APR2013:00:30:00,1111
01APR2013:00:45:00,1081
01APR2013:01:00:00,1050
01APR2013:01:15:00,1023
01APR2013:01:30:00,995
01APR2013:01:45:00,964
01APR2013:02:00:00,948
01APR2013:02:15:00,935
01APR2013:02:30:00,919
01APR2013:02:45:00,912
01APR2013:03:00:00,903
01APR2013:03:15:00,894
01APR2013:03:30:00,883
01APR2013:03:45:00,875
01APR2013:04:00:00,869
01APR2013:04:15:00,863
01APR2013:04:30:00,858
01APR2013:04:45:00,854
01APR2013:05:00:00,858
01APR2013:05:15:00,865
01APR2013:05:30:00,869
01APR2013:05:45:00,883
01APR2013:06:00:00,902
01APR2013:06:15:00,928
01APR2013:06:30:00,941
01APR2013:06:45:00,936
01APR2013:07:00:00,938
01APR2013:07:15:00,953
01APR2013:07:30:00,976
01APR2013:07:45:00,992
01APR2013:08:00:00,1021
01APR2013:08:15:00,1058
01APR2013:08:30:00,1104
01APR2013:08:45:00,1150
01APR2013:09:00:00,1195
01APR2013:09:15:00,1237
01APR2013:09:30:00,1279
01APR2013:09:45:00,1324
01APR2013:10:00:00,1376
01APR2013:10:15:00,1409
01APR2013:10:30:00,1440
01APR2013:10:45:00,1459
01APR2013:11:00:00,1481
01APR2013:11:15:00,1492
01APR2013:11:30:00,1502
01APR2013:11:45:00,1500
01APR2013:12:00:00,1504
01APR2013:12:15:00,1504
01APR2013:12:30:00,1499
01APR2013:12:45:00,1488
01APR2013:13:00:00,1477
01APR2013:13:15:00,1443
01APR2013:13:30:00,1421
01APR2013:13:45:00,1416
01APR2013:14:00:00,1416
01APR2013:14:15:00,1431
01APR2013:14:30:00,1442
01APR2013:14:45:00,1449
01APR2013:15:00:00,1449
01APR2013:15:15:00,1443
01APR2013:15:30:00,1448
01APR2013:15:45:00,1442
01APR2013:16:00:00,1438
01APR2013:16:15:00,1441
01APR2013:16:30:00,1435
01APR2013:16:45:00,1428
01APR2013:17:00:00,1420
01APR2013:17:15:00,1417
01APR2013:17:30:00,1400
01APR2013:17:45:00,1379
01APR2013:18:00:00,1361
01APR2013:18:15:00,1338
01APR2013:18:30:00,1330
01APR2013:18:45:00,1336
01APR2013:19:00:00,1357
01APR2013:19:15:00,1405
01APR2013:19:30:00,1434
01APR2013:19:45:00,1440
01APR2013:20:00:00,1423
01APR2013:20:15:00,1413
01APR2013:20:30:00,1399
01APR2013:20:45:00,1388
01APR2013:21:00:00,1377
01APR2013:21:15:00,1358
01APR2013:21:30:00,1341
01APR2013:21:45:00,1323
01APR2013:22:00:00,1315
01APR2013:22:15:00,1299
01APR2013:22:30:00,1290
01APR2013:22:45:00,1279
01APR2013:23:00:00,1270
01APR2013:23:15:00,1258
01APR2013:23:30:00,1248
01APR2013:23:45:00,1229
02APR2013:00:00:00,1192
02APR2013:00:15:00,1157
02APR2013:00:30:00,1127
02APR2013:00:45:00,1092
02APR2013:01:00:00,1061
02APR2013:01:15:00,1024
02APR2013:01:30:00,996
02APR2013:01:45:00,981
02APR2013:02:00:00,965
02APR2013:02:15:00,948
02APR2013:02:30:00,933
02APR2013:02:45:00,954
02APR2013:03:00:00,920
02APR2013:03:15:00,908
02APR2013:03:30:00,913
02APR2013:03:45:00,889
02APR2013:04:00:00,884
02APR2013:04:15:00,880
02APR2013:04:30:00,874
02APR2013:04:45:00,869
02APR2013:05:00:00,867
02APR2013:05:15:00,872
02APR2013:05:30:00,886
02APR2013:05:45:00,897
02APR2013:06:00:00,912
02APR2013:06:15:00,939
02APR2013:06:30:00,950
02APR2013:06:45:00,950
02APR2013:07:00:00,964
02APR2013:07:15:00,978
02APR2013:07:30:00,1001
02APR2013:07:45:00,1033
02APR2013:08:00:00,1062
02APR2013:08:15:00,1099
02APR2013:08:30:00,1134
02APR2013:08:45:00,1173
02APR2013:09:00:00,1224
02APR2013:09:15:00,1271
02APR2013:09:30:00,1310
02APR2013:09:45:00,1364
02APR2013:10:00:00,1409
02APR2013:10:15:00,1433
02APR2013:10:30:00,1451
02APR2013:10:45:00,1479
02APR2013:11:00:00,1494
02APR2013:11:15:00,1511
02APR2013:11:30:00,1507
02APR2013:11:45:00,1513
02APR2013:12:00:00,1513
02APR2013:12:15:00,1510
02APR2013:12:30:00,1500
02APR2013:12:45:00,1481
02APR2013:13:00:00,1455
02APR2013:13:15:00,1411
02APR2013:13:30:00,1392
02APR2013:13:45:00,1388
02APR2013:14:00:00,1393
02APR2013:14:15:00,1405
02APR2013:14:30:00,1414
02APR2013:14:45:00,1420
02APR2013:15:00:00,1417
02APR2013:15:15:00,1410
02APR2013:15:30:00,1409
02APR2013:15:45:00,1409
02APR2013:16:00:00,1406
02APR2013:16:15:00,1408
02APR2013:16:30:00,1399
02APR2013:16:45:00,1401
02APR2013:17:00:00,1394
02APR2013:17:15:00,1391
02APR2013:17:30:00,1376
02APR2013:17:45:00,1363
02APR2013:18:00:00,1345
02APR2013:18:15:00,1330
02APR2013:18:30:00,1323
02APR2013:18:45:00,1327
02APR2013:19:00:00,1349
02APR2013:19:15:00,1389
02APR2013:19:30:00,1417
02APR2013:19:45:00,1418
02APR2013:20:00:00,1415
02APR2013:20:15:00,1402
02APR2013:20:30:00,1386
02APR2013:20:45:00,1364
02APR2013:21:00:00,1347
02APR2013:21:15:00,1325
